,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,productionCountries,originCountry,overview,CountryName,RuntimeMinutes
472,You Gotta Believe,tt15685360,You Gotta Believe,No,,10800000,1:44,6200000,You Gotta Believe,1000.0,movie,You Gotta Believe,You Gotta Believe,2024,104,"Drama,Family,Sport","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After dedicating the season to a teammate’s ailing father, a group of underestimated Ft. Worth youth baseball players takes its Cinderella run all the way to the 2002 Little League World Series—culminating in a record-breaking showdown that became an instant ESPN classic.","['United Kingdom', 'United States of America']",104
466,Grown Ups,tt1375670,Grown Ups (2010),No,,10700000,1:43,6200000,Grown Ups,2010.0,movie,Grown Ups,Grown Ups,2010,102,Comedy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",['United States of America'],103
469,The Black Phone,tt7144666,The Black Phone,No,,10700000,1:43,6200000,The Black Phone,1000.0,movie,The Black Phone,The Black Phone,2021,103,"Horror,Mystery,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",['United States of America'],103
470,The Mule,tt7959026,The Mule (2018),No,,10600000,1:42,6200000,The Mule,2018.0,movie,The Mule,The Mule,2018,116,"Crime,Drama,Thriller","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Earl Stone, a man in his eighties, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates.","['Canada', 'United States of America']",102
471,The Willoughbys,tt5206260,The Willoughbys,Yes,2020-04-22,9600000,1:33,6200000,The Willoughbys,2020.0,movie,The Willoughbys,The Willoughbys,2020,90,"Adventure,Animation,Comedy","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",['CA'],"When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their Old-Fashioned values to the contemporary world in order to create something new: The Modern Family.",['Canada'],93
467,Octonauts & the Ring of Fire,tt13779166,Octonauts & the Ring of Fire,Yes,2021-03-30,7600000,1:13,6200000,Octonauts & the Ring of Fire,2021.0,movie,Octonauts: The Ring of Fire,Octonauts: The Ring of Fire,2021,72,Animation,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","['GB', 'CN']","In this film's adventure, a volcano erupts suddenly, suddenly awakening the Pacific Ocean floor of hundreds of volcanoes composed of the ""ring of fire"", this sudden event quickly turned into a global catastrophe.  The volcanic clusters that are about to erupt en masse threaten the horned whales washed ashore by the tsunami, the cap penguins living in the volcanic islands, the equipment of the small column maintenance station, the food planted by plant fish in the marine farms... Not to mention the plants and animals that live in the crater all year after year!","['China', 'United Kingdom']",73
475,Cast Away,tt0162222,Cast Away (2000),No,,14600000,2:24,6100000,Cast Away,2000.0,movie,Cast Away,Cast Away,2000,143,"Adventure,Drama,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Chuck Noland, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",['United States of America'],144
481,Luther: The Fallen Sun,tt3155298,Luther: The Fallen Sun,Yes,2023-03-10,13400000,2:11,6100000,Luther: The Fallen Sun,2023.0,movie,Luther: The Fallen Sun,Luther: The Fallen Sun,2023,129,"Action,Crime,Drama","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['US', 'GB']","A gruesome serial killer is terrorizing London while brilliant but disgraced detective John Luther sits behind bars. Haunted by his failure to capture the cyber psychopath who now taunts him, Luther decides to break out of prison to finish the job by any means necessary.","['United Kingdom', 'United States of America']",131
483,Sicario: Day of the Soldado,tt5052474,Sicario: Day of the Soldado,No,,12400000,2:02,6100000,Sicario: Day of the Soldado,1000.0,movie,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018,122,"Action,Crime,Drama","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.,"['Mexico', 'United States of America']",122
476,Constantine,tt0360486,Constantine (2005),No,,12300000,2:01,6100000,Constantine,2005.0,movie,Constantine,Constantine,2005,121,"Action,Fantasy,Horror","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.","['Germany', 'United States of America']",121
484,The Heartbreak Kid,tt0408839,The Heartbreak Kid (2007),No,,11800000,1:56,6100000,The Heartbreak Kid,2007.0,movie,The Heartbreak Kid,The Heartbreak Kid,2007,116,"Comedy,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Eddie, the 40-year-old confirmed bachelor finally says ""I do"" to the beautiful and sexy Lila. But during their honeymoon in Mexico, the woman of his dreams turns out to be a total nightmare, and the guy who could never pull the trigger realizes he’s jumped the gun.",['United States of America'],116
474,365 Days: This Day,tt12996154,365 Days: This Day,Yes,2022-04-27,11300000,1:52,6100000,365 Days: This Day,2022.0,movie,365 Days: This Day,365 Days: This Day,2022,111,"Drama,Romance","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",['PL'],"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",['Poland'],112
477,Family Switch,tt14227048,Family Switch,Yes,2023-11-30,10800000,1:46,6100000,Family Switch,2023.0,movie,Family Switch,Family Switch,2023,106,"Comedy,Family,Fantasy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When the Walker family members switch bodies with each other during a rare planetary alignment, their hilarious journey to find their way back to normal will bring them closer together than they ever thought possible.",['United States of America'],106
480,Little Siberia,tt31828346,Little Siberia // Pikku Siperia,Yes,2025-03-21,10800000,1:47,6100000,Little Siberia,2025.0,movie,Little Siberia,Pikku Siperia,2025,105,"Comedy,Drama,Thriller","[{'iso_3166_1': 'FI', 'name': 'Finland'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}]",['FI'],"A pastor's faith turns upside down when a meteorite lands in his small Finnish town, its impact stirring up chaos and criminal intentions.","['Finland', 'Sweden']",107
478,Focus,tt2381941,Focus (2015),No,,10600000,1:45,6100000,Focus,2015.0,movie,Focus,Focus,2015,105,"Comedy,Crime,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.",['United States of America'],105
473,13 Going on 30,tt0337563,13 Going on 30,No,,9900000,1:38,6100000,13 Going on 30,1000.0,movie,13 Going on 30,13 Going on 30,2004,98,"Comedy,Fantasy,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. Thanks to some magic wishing dust, Jenna's prayer has been answered. With a knockout body, a fabulous wardrobe, an athlete boyfriend, a dream job, and superstar friends, this can't be a better life. But soon Jenna realizes that adult life isn’t as easy as she hoped for.",['United States of America'],98
479,He's All That,tt4590256,He's All That,Yes,2021-08-27,9300000,1:32,6100000,He's All That,2021.0,movie,He's All That,He's All That,2021,88,"Comedy,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",['United States of America'],92
482,Robinson Crusoe,tt0117496,Robinson Crusoe (1997),No,,9200000,1:31,6100000,Robinson Crusoe,1997.0,movie,Robinson Crusoe,Robinson Crusoe,1997,105,"Adventure,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Robinson Crusoe flees Britain on a ship after killing his friend over the love of Mary. A fierce ocean storm wrecks his ship and leaves him stranded by himself on an uncharted island. Left to fend for himself, Crusoe seeks out a tentative survival on the island, until he meets Friday, a tribesman whom he saves from being sacrificed. Initially, Crusoe is thrilled to finally have a friend, but he has to defend himself against the tribe who uses the island to sacrifice tribesman to their gods. During time their relationship changes from master-slave to a mutual respected friendship despite their difference in culture and religion.",['United States of America'],91
488,Django Unchained,tt1853728,Django Unchained,No,,16600000,2:46,6000000,Django Unchained,1000.0,movie,Django Unchained,Django Unchained,2012,165,"Drama,Western","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",['United States of America'],166
491,Into the Fire: The Lost Daughter: Season 1,tt33163756,Into the Fire: The Lost Daughter: Season 1,Yes,2024-09-12,15200000,2:32,6000000,Into the Fire: The Lost Daughter: Season 1,2024.0,tvMiniSeries,Into the Fire: The Lost Daughter,Into the Fire: The Lost Daughter,2024,151,"Crime,Documentary","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A tenacious mother unravels the complex mystery surrounding the 1989 disappearance of the daughter she placed for adoption.,['United States of America'],152
487,Den of Thieves,tt1259528,Den of Thieves,No,,13900000,2:20,6000000,Den of Thieves,1000.0,movie,Den of Thieves,Den of Thieves,2018,140,"Action,Crime,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,['United States of America'],140
489,Fast Five,tt1596343,Fast Five,No,,13000000,2:10,6000000,Fast Five,1000.0,movie,Fast Five,Fast Five,2011,130,"Action,Crime,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",['United States of America'],130
494,Terminator: Dark Fate,tt6450804,Terminator: Dark Fate,No,,12800000,2:09,6000000,Terminator: Dark Fate,1000.0,movie,Terminator: Dark Fate,Terminator: Dark Fate,2019,128,"Action,Adventure,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CN', 'name': 'China'}]",['US'],"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.","['United States of America', 'China']",129
493,SAS: Rise of the Black Swan,tt4479380,SAS: Rise of the Black Swan,No,2021-08-27,12600000,2:05,6000000,SAS: Rise of the Black Swan,2021.0,movie,SAS: Rise of the Black Swan,SAS: Red Notice,2021,124,Action,"[{'iso_3166_1': 'HU', 'name': 'Hungary'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","['US', 'GB', 'CH']","An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive.","['Hungary', 'Netherlands', 'Switzerland', 'United Kingdom']",125
486,Bird Box,tt2737304,Bird Box,Yes,2018-12-21,12300000,2:04,6000000,Bird Box,2018.0,movie,Bird Box,Bird Box,2018,124,"Horror,Mystery,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",['United States of America'],124
485,A Fall from Grace,tt11390036,A Fall from Grace,Yes,2020-01-17,12100000,2:01,6000000,A Fall from Grace,2020.0,movie,A Fall from Grace,A Fall from Grace,2020,120,"Crime,Drama,Mystery","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",['United States of America'],121
490,How It Ends,tt5246700,How It Ends,Yes,2018-07-13,11300000,1:53,6000000,How It Ends,2018.0,movie,How It Ends,How It Ends,2018,113,"Action,Drama,Horror","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['CA', 'US']",A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,"['Canada', 'United States of America']",113
495,The Angry Birds Movie,tt1985949,The Angry Birds Movie,No,,9800000,1:38,6000000,The Angry Birds Movie,1000.0,movie,The Angry Birds Movie,The Angry Birds Movie,2016,97,"Action,Adventure,Animation","[{'iso_3166_1': 'FI', 'name': 'Finland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.","['Finland', 'United States of America']",98
496,Watcher,tt12004038,Watcher (2022),No,,9600000,1:36,6000000,Watcher,2022.0,movie,Watcher,Watcher,2022,96,"Drama,Horror,Mystery","[{'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.","['United Arab Emirates', 'United States of America']",96
492,Monster House,tt0385880,Monster House (2006),No,,9100000,1:31,6000000,Monster House,2006.0,movie,Monster House,Monster House,2006,91,"Animation,Comedy,Family","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",['United States of America'],91
505,Primal Fear,tt0117381,Primal Fear,No,,12800000,2:11,5900000,Primal Fear,1000.0,movie,Primal Fear,Primal Fear,1996,129,"Crime,Drama,Mystery","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Defense attorney Martin Vail takes on jobs for money and prestige rather than any sense of the greater good. His latest case involves an altar boy, accused of brutally murdering the archbishop of Chicago. Vail finds himself up against his ex-pupil and ex-lover, but as the case progresses and the Church's dark secrets are revealed, Vail finds that what appeared a simple case takes on a darker, more dangerous aspect.",['United States of America'],131
502,Godzilla Minus One,tt23289160,Godzilla Minus One // ___-1.0,No,,12400000,2:06,5900000,Godzilla Minus One,1000.0,movie,Godzilla Minus One,Gojira Mainasu Wan,2023,124,"Action,Adventure,Drama","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",['Japan'],126
497,Burlesque,tt1126591,Burlesque (2010),No,,11700000,1:59,5900000,Burlesque,2010.0,movie,Burlesque,Burlesque,2010,119,"Drama,Music,Musical","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Ali leaves behind a troubled life and follows her dreams to Los Angeles, where she lands a job as a cocktail waitress at the Burlesque Lounge, a once-majestic theater that houses an inspired musical revue. Vowing to perform there, she makes the leap from bar to stage, helping restore the club's former glory.",['United States of America'],119
498,Burlesque,tt1586713,Burlesque (2010),No,,11700000,1:59,5900000,Burlesque,2010.0,movie,Burlesque,Burlesque,2010,90,Drama,"[{'iso_3166_1': 'AU', 'name': 'Australia'}]","['AU', 'US']","Frank Bannister is about to have a very long night. A writer of violent horror stories, Frank is alone, depressed and one step from full blown alcoholism. Late one dark and stormy night his quiet hermit existence is disturbed when two eccentric exotic dancers arrive on his doorstep. Alternatively seductive and sinister the beautiful women promise to make all Frank's dreams come true. They prove to be as good as their word. Only problem is, Frank is a man with very dark dreams indeed.",['Australia'],119
506,The Do-Over,tt4769836,The Do-Over,Yes,2016-05-27,10800000,1:49,5900000,The Do-Over,2016.0,movie,The Do-Over,The Do-Over,2016,108,"Action,Adventure,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,['United States of America'],109
500,Code 8 Part II,tt14764464,Code 8 Part II,Yes,2024-02-28,9900000,1:40,5900000,Code 8 Part II,2024.0,movie,Code 8: Part II,Code 8: Part II,2024,100,"Action,Crime,Drama","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['CA', 'US']","In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.","['Canada', 'United States of America']",100
503,Legion,tt1038686,Legion (2010),No,,9900000,1:40,5900000,Legion,2010.0,movie,Legion,Legion,2010,100,"Action,Fantasy,Horror","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",['United States of America'],100
504,Mean Girls,tt0377092,Mean Girls (2004),No,,9600000,1:37,5900000,Mean Girls,2004.0,movie,Mean Girls,Mean Girls,2004,97,Comedy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",['United States of America'],97
499,Camp Crasher,tt29368988,Camp Crasher // Campamento con mam,Yes,2024-12-06,9400000,1:36,5900000,Camp Crasher,2024.0,movie,Camp Crasher,Campamento con mamá,2024,95,Comedy,"[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",['AR'],"In a bid to save her son's end-of-school camping trip, a single mom steps in as the bus driver while trying to show him she really can be a cool mom.",['Argentina'],96
501,Due Date,tt1231583,Due Date,No,,9400000,1:35,5900000,Due Date,1000.0,movie,Due Date,Due Date,2010,95,"Comedy,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",['United States of America'],95
508,The Last Stop in Yuma County,tt11674730,The Last Stop in Yuma County,No,,9000000,1:31,5900000,The Last Stop in Yuma County,1000.0,movie,The Last Stop in Yuma County,The Last Stop in Yuma County,2023,90,"Crime,Drama,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"While awaiting the next fuel truck at a middle-of-nowhere Arizona rest stop, a traveling young knife salesman is thrust into a high-stakes hostage situation by the arrival of two similarly stranded bank robbers with no qualms about using cruelty—or cold, hard steel—to protect their bloodstained, ill-gotten fortune.",['United States of America'],91
507,The Guilty,tt9421570,The Guilty,Yes,2021-10-01,8900000,1:31,5900000,The Guilty,2021.0,movie,The Guilty,The Guilty,2021,90,"Crime,Drama,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,['United States of America'],91
513,Harry Potter and the Prisoner of Azkaban,tt0304141,Harry Potter and the Prisoner of Azkaban,No,,13800000,2:22,5800000,Harry Potter and the Prisoner of Azkaban,1000.0,movie,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure,Family,Fantasy","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['GB'],"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.","['United Kingdom', 'United States of America']",142
511,Enola Holmes,tt7846844,Enola Holmes,Yes,2020-09-23,12000000,2:04,5800000,Enola Holmes,2020.0,movie,Enola Holmes,Enola Holmes,2020,123,"Adventure,Crime,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",['United States of America'],124
516,Rebel Moon Ñ Part Two: The Scargiver,tt23137904,Rebel Moon Ñ Part Two: The Scargiver,Yes,2024-04-19,11900000,2:04,5800000,Rebel Moon Ñ Part Two: The Scargiver,2024.0,movie,Rebel Moon - Part Two: The Scargiver,Rebel Moon - Part Two: The Scargiver,2024,122,"Action,Adventure,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.",['United States of America'],124
515,HowlÕs Moving Castle,tt0347149,HowlÕs Moving Castle // _______,No,,11600000,2:00,5800000,HowlÕs Moving Castle,1000.0,movie,Howl's Moving Castle,Hauru no ugoku shiro,2004,119,"Adventure,Animation,Family","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",['Japan'],120
520,The Other Boleyn Girl,tt0467200,The Other Boleyn Girl (2008),No,,11100000,1:55,5800000,The Other Boleyn Girl,2008.0,movie,The Other Boleyn Girl,The Other Boleyn Girl,2008,115,"Biography,Drama,History","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['US', 'GB']","A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII.","['United Kingdom', 'United States of America']",115
518,The Fast and the Furious,tt0232500,The Fast and the Furious,No,,10300000,1:46,5800000,The Fast and the Furious,1000.0,movie,The Fast and the Furious,The Fast and the Furious,2001,106,"Action,Crime,Thriller","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Dominic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.","['Germany', 'United States of America']",106
514,How the Grinch Stole Christmas,tt0170016,How the Grinch Stole Christmas,No,,10100000,1:44,5800000,How the Grinch Stole Christmas,1000.0,movie,How the Grinch Stole Christmas,How the Grinch Stole Christmas,2000,104,"Comedy,Family,Fantasy","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,"['Germany', 'United States of America']",104
517,Sosyal Climbers,tt35624097,Sosyal Climbers,Yes,2025-02-27,10100000,1:44,5800000,Sosyal Climbers,2025.0,movie,Sosyal Climbers,Sosyal Climbers,2025,102,"Comedy,Romance","[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",['PH'],"Stuck with a massive debt after falling for a scam, two wannabe socialites create elaborate fake identities to swindle the rich out of their money.",['Philippines'],104
509,Cheers to Life,tt26849593,Cheers to Life // Viva a Vida,No,2025-06-11,10000000,1:43,5800000,Cheers to Life,2025.0,movie,Cheers to Life,Viva a Vida,2024,104,"Comedy,Drama","[{'iso_3166_1': 'BR', 'name': 'Brazil'}, {'iso_3166_1': 'IL', 'name': 'Israel'}]",['BR'],"Jéssica is a simple young woman, dedicated to her job at an antique shop in Rio de Janeiro, but she feels her life lacks purpose. Everything changes when she finds a mysterious locket identical to an item she inherited from her late mother. Driven by the desire to understand the connection between the locket and her family history, Jéssica teams up with Gabriel, a distant relative who appears unexpectedly.","['Brazil', 'Israel']",103
519,The Hating Game,tt8718158,The Hating Game,No,,9900000,1:43,5800000,The Hating Game,1000.0,movie,The Hating Game,The Hating Game,2021,102,"Comedy,Romance","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.","['United Kingdom', 'United States of America']",103
512,Fractured,tt4332232,Fractured,Yes,2019-10-11,9600000,1:40,5800000,Fractured,2019.0,movie,Fractured,Fractured,2019,99,"Drama,Mystery,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.",['United States of America'],100
510,Cold Blood Legacy,tt9082020,Cold Blood Legacy,No,,8500000,1:28,5800000,Cold Blood Legacy,1000.0,movie,Cold Blood,Cold Blood Legacy,2019,91,"Action,Thriller","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'UA', 'name': 'Ukraine'}]",['FR'],"A legendary but retired hit man lives in peace and isolation in the barren North American wilderness. When he rescues a woman from a snowmobiling accident, he soon discovers that she's harboring a secret that forces him to return to his lethal ways.","['Belgium', 'France', 'Ukraine']",88
530,Thandel,tt27907811,Thandel,No,,14100000,2:28,5700000,Thandel,1000.0,movie,Thandel,Thandel,2025,152,"Action,Adventure,Romance","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],"Fisherman Raju is deeply in love with Satya. However, at one point, she urges him to stop going to the sea and look for other jobs. Ignoring her plea, Raju ventures out and accidentally drifts into Pakistani waters, where he is arrested.",['India'],148
524,Champions,tt15339570,Champions (2023),No,,11700000,2:04,5700000,Champions,2023.0,movie,Champions,Champions,2023,124,"Comedy,Drama,Sport","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A stubborn and hotheaded minor league basketball coach is forced to train a Special Olympics team when he is sentenced to community service.,['United States of America'],124
525,Deep Impact,tt0120647,Deep Impact,No,,11600000,2:02,5700000,Deep Impact,1000.0,movie,Deep Impact,Deep Impact,1998,120,"Action,Drama,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A seven-mile-wide space rock is hurtling toward Earth, threatening to obliterate the planet. Now, it's up to the president of the United States to save the world. He appoints a tough-as-nails veteran astronaut to lead a joint American-Russian crew into space to destroy the comet before impact. Meanwhile, an enterprising reporter uses her smarts to uncover the scoop of the century.",['United States of America'],122
